,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
0,a2_news,"Kanal informativ në partneritet ekskluziv me @CNN, me seli në #Tirane",Albania,6,995,17098,0,"#Kosovo PM @albinkurti  and President @VjosaOsmaniPRKS  meet #Greek Prime Minister #Mitsotakis
https://t.co/GT8uaj0NBn","['Kosovo', 'Greek', 'Mitsotakis']"
1,GreekReporter,Greek News From Around The Globe  http://t.co/BTnqSzxB,Greeks Are Everywhere! ,130,27017,69994,1,"#Greece Supports #Ukraine’s Territorial Integrity, PM #Mitsotakis Says https://t.co/XZ50tRD0nJ","['Greece', 'Ukraine', 'Mitsotakis']"
2,Peiratesoneirou,Freedom,Europe,4838,7710,75859,11,"2 African asylum-seekers died after being pushed back from the island of #Samos, according to a media probe coordinated by LightHouse Reports. The pair had made it to Samos, before being found dead days later, washed up off the Turkish coastline. #Pushbacks #Greece #Mitsotakis","['Samos', 'Pushbacks', 'Greece', 'Mitsotakis']"
3,theokoulouris,"Senior  lecturer, @uniofbrighton, @MediaAtBrighton; deconstruction, ethics, feminism, politics; mourning; Virginia Woolf; modernism; RTs not endorsements.","Brighton & Hove, UK",1483,1500,25003,0,"Starving 70-year-old prosecuted by store manager of @Lidl_Hellas_ for stealing some cheese &amp; meat even though customers &amp; the police officer(s) called offered to pay (charges later dropped). #Greece again in abject poverty under #Mitsotakis
 #Lidl #Lidl_Hellas","['Greece', 'Mitsotakis', 'Lidl', 'Lidl_Hellas']"
4,AK7FZ78,Το πιο πυκνό σκοτάδι είναι λίγο πριν ξημερώσει...,ΘΕΡΜΟΠΥΛΕΣ,209,303,1591,6,"Globalist Kyriakos Mitsotakis, Prime Minister of ZioOccupied Greece and member of the Bilderberg Club, says he will fight against nativism (Greece being inhabited by Greeks) and he is happy that Greece is becoming a multicultural..

#Mitsotakis #Puppet #Jews #Bilderberg #vouli https://t.co/AAfieaNbr6","['Mitsotakis', 'Puppet', 'Jews', 'Bilderberg', 'vouli']"
5,eprotothema,"English Edition of Greece’s No.1 news site & best-selling/most influential Sunday newspaper. Follow for breaking news, special reports and more from @protothema",,1739,3529,45720,0,"#PM #Mitsotakis at #EU informal Summit: “Greece has a keen interest in the #Ukrainian crisis” (video)
   https://t.co/1hlPFPrnPJ https://t.co/VLrO3x384S","['PM', 'Mitsotakis', 'EU', 'Ukrainian']"
6,CrrowG,"“In a dark time, the eye begins to see,” wrote the American poet Theodore Roethke.",👏🚛🚚🚛🚜🚚🚛🚚🚜🚛🚙🚜🚚👏,288,250,5655,0,"Doug Ford✅ ""It doesn't matter if you have 1 shot or 10 shots, you can catch COVID""✅ #MacronLeFou #CanadaTruckers 
#Mitsotakis #ΜΕ_ΤΟΝ_ΚΥΡΙΑΚΟ #μετρα #EuropeanParliament","['MacronLeFou', 'CanadaTruckers', 'Mitsotakis', 'ΜΕ_ΤΟΝ_ΚΥΡΙΑΚΟ', 'μετρα', 'EuropeanParliament']"
7,BcnFox,#Geopolitics and #Lucía keep me #sleepless. #Ithaca is still far away...But then again the journey is what matters...and the people you share it with. Yep.,Barcelona,4025,1701,93238,1,"#Mitsotakis having abandoned the National #HealthSystem now has #ND deputies justifying the incredible 25,000 number of deaths in the #pandemic saying they didn´t die intubated in a stadium at least...Holy Macro Guacamole...What a bunch of criminals...#Greece https://t.co/1zlllLXJO8","['Mitsotakis', 'HealthSystem', 'ND', 'pandemic', 'Greece']"
8,Peiratesoneirou,Freedom,Europe,4838,7710,75859,0,"Hey #Mitsotakis, @spectatorindex is attacking our country. 6,2% is just a lie they are spreading. Same happened with the #pushbacks that you do, the cocaine cartels that you support and the mafia gansters that act uncontrolably since your election #Greece #Noor1 #MAFIA #Fascism https://t.co/H9WIRKXOpO","['Mitsotakis', 'pushbacks', 'Greece', 'Noor1', 'MAFIA', 'Fascism']"
9,VoyagerStOrion,,,73,47,1247,0,"@ianrodenppc @CPC_HQ The same goes for #Greece, where this filthy @PrimeministerGR #mitsotakis, one of #KlausSchwab's students pays huge amounts of money to #journalist-s while manipulates #Lawyers n Justice in order to disseminate his ordered #propaganda concerning #CoronavirusPandemic (?)","['Greece', 'mitsotakis', 'KlausSchwab', 'journalist', 'Lawyers', 'propaganda', 'CoronavirusPandemic']"
